acticity_id,practice_id,description,capability_lvl
1,"""EDM01.01""","""Analyze and identify the internal and external environmental factors (legal, regulatory and contractual obligations) and trends in the business environment that may influence governance design.""",2
2,"""EDM01.01""","""Determine the significance of I&T and its role with respect to the business.""",2
3,"""EDM01.01""","""Consider external regulations, laws and contractual obligations and determine how they should be applied within the governance of enterprise I&T.""",2
4,"""EDM01.01""","""Determine the implications of the overall enterprise control environment with regard to I&T.""",2
5,"""EDM01.01""","""Align the ethical use and processing of information and its impact on society, the natural environment, and internal and external stakeholder interests with the enterprise’s direction, goals and objectives.""",3
6,"""EDM01.01""","""Articulate principles that will guide the design of governance and decision making of I&T.""",3
7,"""EDM01.01""","""Determine the optimal decision-making model for I&T""",3
8,"""EDM01.01""","""Determine the appropriate levels of authority delegation, including threshold rules, for I&T decisions.""",3
9,"""EDM01.02""","""Communicate governance of I&T principles and agree with executive management on the way to establish informed and committed leadership.""",2
10,"""EDM01.02""","""Establish or delegate the establishment of governance structures, processes and practices in line with agreed-on design principles.""",2
11,"""EDM01.02""","""Establish an I&T governance board (or equivalent) at the board level. This board should ensure that governance of information and technology, as part of enterprise governance, is adequately addressed; advise on strategic direction; and determine prioritization of I&T-enabled investment programs in line with the enterprise’s business strategy and priorities.""",2
12,"""EDM01.02""","""Allocate responsibility, authority and accountability for I&T decisions in line with agreed-on governance design principles, decision-making models and delegation.""",3
13,"""EDM01.02""","""Ensure that communication and reporting mechanisms provide those responsible for oversight and decision making with appropriate information.""",3
14,"""EDM01.02""","""Direct that staff follow relevant guidelines for ethical and professional behavior and ensure that consequences of noncompliance are known and enforced.""",3
15,"""EDM01.02""","""Direct the establishment of a reward system to promote desirable cultural change.""",3
16,"""EDM01.03""","""Assess the effectiveness and performance of those stakeholders given delegated responsibility and authority for governance of enterprise I&T.""",3
17,"""EDM01.03""","""Periodically assess whether agreed-on governance of I&T mechanisms (structures, principles, processes, etc.) are established and operating effectively.""",4
18,"""EDM01.03""","""Assess the effectiveness of the governance design and identify actions to rectify any deviations found.""",4
19,"""EDM01.03""","""Maintain oversight of the extent to which I&T satisfies obligations (regulatory, legislation, common law, contractual), internal policies, standards and professional guidelines.""",4
20,"""EDM01.03""","""Provide oversight of the effectiveness of, and compliance with, the enterprise’s system of control.""",4
21,"""EDM01.03""","""Monitor regular and routine mechanisms for ensuring that the use of I&T complies with relevant obligations (regulatory, legislation, common law, contractual), standards and guidelines.""",4
22,"""EDM02.01""","""Create and maintain portfolios of I&T-enabled investment programs, IT services and IT assets, which form the basis for the current IT budget and support the I&T tactical and strategic plans.""",2
23,"""EDM02.01""","""Obtain a common understanding between IT and the other business functions on the potential opportunities for IT to enable and contribute to enterprise strategy.""",2
24,"""EDM02.01""","""Identify the broad categories of information systems, applications, data, IT services, infrastructure, I&T assets, resources, skills, practices, controls and relationships needed to support the enterprise strategy.""",2
25,"""EDM02.01""","""Agree on I&T goals, taking into account the interrelationships between the enterprise strategy and the I&T services, assets and other resources. Identify and leverage synergies that can be achieved.""",2
26,"""EDM02.01""","""Define an investment mix that achieves the right balance among a number of dimensions, including an appropriate balance of short- and long-term returns, financial and nonfinancial benefits, and high- and low-risk investments.""",3
27,"""EDM02.02""","""Understand stakeholder requirements; strategic I&T issues, such as dependence on I&T; and technology insights and capabilities regarding the actual and potential significance of I&T for the enterprise’s strategy.""",2
28,"""EDM02.02""","""Understand the key elements of governance required for the reliable, secure and cost-effective delivery of optimal value from the use of existing and new I&T services, assets and resources.""",3
29,"""EDM02.02""","""Understand and regularly discuss the opportunities that could arise for the enterprise from changes enabled by current, new or emerging technologies, and optimize the value created from those opportunities.""",3
30,"""EDM02.02""","""Understand what constitutes value for the enterprise, and consider how well it is communicated, understood and applied throughout the enterprise’s processes.""",3
31,"""EDM02.02""","""Evaluate how effectively the enterprise and I&T strategies have been integrated and aligned within the enterprise and with enterprise goals for delivering value.""",4
32,"""EDM02.02""","""Understand and consider how effective current roles, responsibilities, accountabilities and decision-making bodies are in ensuring value creation from I&T-enabled investments, services and assets.""",4
33,"""EDM02.02""","""Consider how well the management of I&T-enabled investments, services and assets aligns with enterprise value management and financial management practices.""",4
34,"""EDM02.02""","""Evaluate the portfolio of investments, services and assets for alignment with the enterprise’s strategic objectives; enterprise worth, both financial and nonfinancial; risk, both delivery risk and benefits risk; business process alignment; effectiveness in terms of usability, availability and responsiveness; and efficiency in terms of cost, redundancy and technical health.""",4
35,"""EDM02.03""","""Define and communicate portfolio and investment types, categories, criteria and relative weightings to the criteria to allow for overall relative value scores.""",2
36,"""EDM02.03""","""Define requirements for stage-gates and other reviews for significance of the investment to the enterprise and associated risk, program schedules, funding plans, and the delivery of key capabilities and benefits and ongoing contribution to value.""",3
37,"""EDM02.03""","""Direct management to consider potential innovative uses of I&T that enable the enterprise to respond to new opportunities or challenges, undertake new business, increase competitiveness, or improve processes.""",3
38,"""EDM02.03""","""Direct any required changes in assignment of accountabilities and responsibilities for executing the investment portfolio and delivering value from business processes and services.""",3
39,"""EDM02.03""","""Direct any required changes to the portfolio of investments and services to realign with current and expected enterprise objectives and/or constraints.""",3
40,"""EDM02.03""","""Recommend consideration of potential innovations, organizational changes or operational improvements that could drive increased value for the enterprise from I&T-enabled initiatives.""",3
41,"""EDM02.03""","""Define and communicate enterprise-level value delivery goals and outcome measures to enable effective monitoring.""",4
42,"""EDM02.04""","""Define a balanced set of performance objectives, metrics, targets and benchmarks. Metrics should cover activity and outcome measures, including lead and lag indicators for outcomes, as well as an appropriate balance of financial and nonfinancial measures. Review and agree on them with IT and other business functions, and other relevant stakeholders.""",4
43,"""EDM02.04""","""Collect relevant, timely, complete, credible and accurate data to report on progress in delivering value against targets. Obtain a succinct, high-level, all-around view of portfolio, program and I&T (technical and operational capabilities) performance that supports decision making. Ensure that expected results are being achieved.""",4
44,"""EDM02.04""","""Obtain regular and relevant portfolio, program and I&T (technological and functional) performance reports. Review the enterprise’s progress toward identified goals and the extent to which planned objectives have been achieved, deliverables obtained, performance targets met and risk mitigated.""",4
45,"""EDM02.04""","""Upon review of reports, ensure that appropriate management corrective action is initiated and controlled.""",5
46,"""EDM02.04""","""Upon review of reports, take appropriate management action as required to ensure that value is optimized.""",5
47,"""EDM03.01""","""Understand the organization and its context related to I&T risk.""",2
48,"""EDM03.01""","""Determine the risk appetite of the organization, i.e., the level of I&T-related risk that the enterprise is willing to take in its pursuit of enterprise objectives.""",2
49,"""EDM03.01""","""Determine risk tolerance levels against the risk appetite, i.e., temporarily acceptable deviations from the risk appetite.""",2
50,"""EDM03.01""","""Determine the extent of alignment of the I&T risk strategy to the enterprise risk strategy and ensure the risk appetite is below the organization’s risk capacity.""",2
51,"""EDM03.01""","""Proactively evaluate I&T risk factors in advance of pending strategic enterprise decisions and ensure that risk considerations are part of the strategic enterprise decision process.""",3
52,"""EDM03.01""","""Evaluate risk management activities to ensure alignment with the enterprise’s capacity for I&T-related loss and leadership’s tolerance of it.""",3
53,"""EDM03.01""","""Attract and maintain necessary skills and personnel for I&T Risk Management.""",3
54,"""EDM03.02""","""Direct the translation and integration of the I&T risk strategy into risk management practices and operational activities.""",2
55,"""EDM03.02""","""Direct the development of risk communication plans (covering all levels of the enterprise).""",2
56,"""EDM03.02""","""Direct implementation of the appropriate mechanisms to respond quickly to changing risk and report immediately to appropriate levels of management, supported by agreed principles of escalation (what to report, when, where and how).""",2
57,"""EDM03.02""","""Direct that risk, opportunities, issues and concerns may be identified and reported by anyone to the appropriate party at any time. Risk should be managed in accordance with published policies and procedures and escalated to the relevant decision makers.""",2
58,"""EDM03.02""","""Identify key goals and metrics of the risk governance and management processes to be monitored, and approve the approaches, methods, techniques and processes for capturing and reporting the measurement information.""",3
59,"""EDM03.03""","""Report any risk management issues to the board or executive committee.""",2
60,"""EDM03.03""","""Monitor the extent to which the risk profile is managed within the enterprise’s risk appetite and tolerance thresholds.""",3
61,"""EDM03.03""","""Monitor key goals and metrics of risk governance and management processes against targets, analyze the cause of any deviations, and initiate remedial actions to address the underlying causes.""",4
62,"""EDM03.03""","""Enable key stakeholders’ review of the enterprise’s progress toward identified goals.""",4
63,"""EDM04.01""","""Starting from the current and future strategies, examine the potential options for providing I&T-related resources (technology, financial and human resources), and develop capabilities to meet current and future needs (including sourcing options).""",2
64,"""EDM04.01""","""Define the key principles for resource allocation and management of resources and capabilities so I&T can meet the needs of the enterprise according to the agreed priorities and budgetary constraints. For example, define preferred sourcing options for certain services and financial boundaries per sourcing option.""",2
65,"""EDM04.01""","""Review and approve the resource plan and enterprise architecture strategies for delivering value and mitigating risk with the allocated resources.""",2
66,"""EDM04.01""","""Understand requirements for aligning I&T resource management with enterprise financial and human resources (HR) planning.""",3
67,"""EDM04.01""","""Define principles for the management and control of the enterprise architecture.""",3
68,"""EDM04.02""","""Assign responsibilities for executing resource management.""",2
69,"""EDM04.02""","""Establish principles related to safeguarding resources.""",3
70,"""EDM04.02""","""Communicate and drive the adoption of the resource management strategies, principles, and agreed resource plan and enterprise architecture strategies.""",3
71,"""EDM04.02""","""Align resource management with enterprise financial and HR planning.""",3
72,"""EDM04.02""","""Define key goals, measures and metrics for resource management.""",4
73,"""EDM04.03""","""Monitor the allocation and optimization of resources in accordance with enterprise objectives and priorities using agreed goals and metrics.""",4
74,"""EDM04.03""","""Monitor I&T-related sourcing strategies, enterprise architecture strategies, and business- and IT-related capabilities and resources to ensure that current and future needs and objectives of the enterprise can be met.""",4
75,"""EDM04.03""","""Monitor resource performance against targets, analyze the cause of deviations, and initiate remedial action to address the underlying causes.""",4
76,"""EDM05.01""","""Identify all relevant I&T stakeholders within and outside the enterprise. Group stakeholders in stakeholder categories with similar requirements.""",2
77,"""EDM05.01""","""Examine and make judgment on the current and future mandatory reporting requirements relating to the use of I&T within the enterprise (regulation, legislation, common law, contractual), including extent and frequency.""",2
78,"""EDM05.01""","""Examine and make judgment on the current and future communication and reporting requirements for other stakeholders relating to the use of I&T within the enterprise, including required level of involvement/consultation and extent of communication/level of detail and conditions.""",2
79,"""EDM05.01""","""Maintain principles for communication with external and internal stakeholders, including communication formats and channels, and for stakeholder acceptance and sign-off of reporting.""",3
80,"""EDM05.02""","""Direct the establishment of the consultation and communication strategy for external and internal stakeholders.""",2
81,"""EDM05.02""","""Direct the implementation of mechanisms to ensure that information meets all criteria for mandatory I&T reporting requirements for the enterprise.""",2
82,"""EDM05.02""","""Establish mechanisms for validation and approval of mandatory reporting.""",2
83,"""EDM05.02""","""Establish reporting escalation mechanisms.""",3
84,"""EDM05.03""","""Periodically assess the effectiveness of the mechanisms for ensuring the accuracy and reliability of mandatory reporting.""",4
85,"""EDM05.03""","""Periodically assess the effectiveness of the mechanisms for, and outcomes from, involvement of and communication with external and internal stakeholders.""",4
