guidance_id,guidance,reference
1,"""CMMI Cybermaturity Platform, 2018""","""GE:Apply Governance System; GE: MG Monitor Governance System"""
2,"""ISO/IEC 38500:2015(E)""","""5.2 Principle 1 : Responsibility (Evaluate)"""
3,"""ITIL V3, 2011""","""Service Strategy, 2.3 Governance and management systems"""
4,"""National Institute of Standards and Technology Special Publication 8---37. Revision 2 (Draft), May 2018""","""3.1 Preparation (Tasks 2,3,4,5)"""
5,"""CMMI Cybermaturity Platform, 2018""","""GE.DG Direct Governance System"""
6,"""ISF, The Standard of Good Practice for Information Security 2016""","""SG1.1 Security Governance Framework"""
7,"""ISO/IEC 38500:2015(E)""","""5.2 Principle 1: Responsibility (Direct)"""
8,"""ISO/IEC 38502:2017(E)""","""Governance of IT - Framework and model (all chapters)"""
9,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.4: Governance functional areas - Principle 12"""
10,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.14 Planning (PL-2, PL-10)"""
11,"""ISO/IEC 38500:2015(E)""","""5.2 Principle 1: Responsibility (Monitor)"""
12,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.14 Planning (PL-11)"""
13,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.5: Stakeholder relationships—Principle 17"""
14,"""The Open Group IT4IT Reference Architecture, Version 2.0""","""3.2 IT Value Chain and IT4IT Reference Architecture"""
15,"""COSO Enterprise Risk Management, June 2017""","""7. Strategy and Objective-Setting—Principle 8"""
16,"""ISF, The Standard of Good Practice for Information Security 2016""","""SG2.2 Stakeholder Value Delivery"""
17,"""ISO/IEC 38500:2015(E)""","""5.3 Principle 2: Strategy (Evaluate)"""
18,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.2: Strategy, performance and reporting—Principle 4"""
19,"""The Open Group IT4IT Reference Architecture, Version 2.0""","""5. Strategy to Portfolio (S2P) Value Stream"""
20,"""ISO/IEC 38500:2015(E)""","""5.3 Principle 2: Strategy (Direct)"""
21,"""ISO/IEC 38500:2015(E)""","""5.3 Principle 2: Strategy (Monitor)"""
22,"""COSO Enterprise Risk Management, June 2017""","""Strategy and Objective-Setting—Principles 6 and 7; 9. Review and Revision—Principle 16"""
23,"""CMMI Cybermaturity Platform, 2018 Objectives""","""RS.AS Apply Risk Management Strategy; BC.RO Determine Strategic Risk"""
24,"""ISF, The Standard of Good Practice for Information Security 2016""","""IR1.1 Information Risk Assessment—Management Approach"""
25,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.4: Governance functional areas—Principle 11"""
26,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.5 Assessment (Task 2)"""
27,"""COSO Enterprise Risk Management, June 2017""","""9. Review and Revision—Principle 17"""
28,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.1 Preparation (Task 7); 3.5 Assessment (Task 1); 3.6 Authorization (Task 1)"""
29,"""The Open Group IT4IT Reference Architecture, Version 2.0""","""6. Requirement to Deploy (R2D) Value Stream; 7. Request to Fulfill (R2F) Value Stream"""
30,"""CMMI Cybermaturity Platform, 2018""","""GR.DR Direct Resource Management Needs"""
31,"""ISO/IEC 38500:2015(E)""","""5.4 Principle 3: Acquisition (Evaluate)"""
32,"""CMMI Cybermaturity Platform, 2018""","""GR.ER Evaluate Resource Management Needs"""
33,"""COSO Enterprise Risk Management, June 2017""","""6. Governance and Culture—Principle 5"""
34,"""ISO/IEC 38500:2015(E)""","""5.4 Principle 3: Acquisition (Direct)"""
35,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.14 Planning (PL-4)"""
36,"""CMMI Cybermaturity Platform, 2018""","""GR.MR Monitor Resource Management Needs"""
37,"""CMMI Cybermaturity Platform, 2018""","""SR.DR Direct Stakeholder Communication and Reporting"""
38,"""CMMI Cybermaturity Platform, 2018""","""SR.AR Apply Stakeholder Reporting Requirements"""
39,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.5: Stakeholder relationships—Principle 16"""
40,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.2: Strategy, performance and reporting—Principle 5"""
41,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity V1.1, April 2018""","""3.3 Communicating Cybersecurity Requirements with Stakeholders"""
42,"""CMMI Cybermaturity Platform, 2018""","""SR.MC Monitor Stakeholder Communication"""
43,"""COSO Enterprise Risk Management, June 2017""","""7. Strategy and Objective-Setting—Principle 9"""
44,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""International standard for establishing, implementing and maintaining a management system (all chapters)"""
45,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""8.2 Information classification"""
46,"""ITIL V3, 2011""","""Continual Service Improvement, 4.1 The 7-Step Improvement Process"""
47,"""COSO Enterprise Risk Management, June 2017""","""7. Strategy and Objective-Setting—Principle 6"""
48,"""COSO Enterprise Risk Management, June 2017""","""7. Strategy and Objective-Setting—Principle 6; 9. Review and Revision—Principle 15"""
49,"""ISF, The Standard of Good Practice for Information Security 2016""","""SG2.1 Information Security Strategy"""
50,"""ITIL V3, 2011""","""Service Strategy, 4.1 Strategy management for IT services"""
51,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.15 Program management (PM-7)"""
52,"""The Open Group Standard TOGAF version 9.2, 2018""","""6. Phase A: Architecture Vision"""
53,"""CMMI Data Management Maturity Model, 2014""","""Platform and Architecture—Architectural Approach; Platform and Architecture—Data Integration"""
54,"""ITIL V3, 2011""","""Service Strategy, 5.4 IT service strategy and enterprise architecture"""
55,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.1 Preparation (Task 9)"""
56,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.5 Configuration management (CM-8)"""
57,"""The Open Group Standard TOGAF version 9.2, 2018""","""7. Phase B: Business Architecture; 8. Phase C: Information Systems Architectures; 9. Phase C: Information Systems Architectures Data Architecture; 10. Phase C: Information Systems Architectures Application Architecture; 11. Phase D: Technology Architecture"""
58,"""The Open Group Standard TOGAF version 9.2, 2018""","""12. Phase E: Opportunities and Solutions"""
59,"""The Open Group Standard TOGAF version 9.2, 2018""","""13. Phase F: Migration Planning"""
60,"""CMMI Data Management Maturity Model, 2014""","""Platform and Architecture—Architectural Standards"""
61,"""ITIL V3, 2011""","""Service Design, 3.9 Service Oriented Architecture"""
62,"""The Open Group Standard TOGAF version 9.2, 2018""","""14. Phase G: Implementation Governance; 15. Phase H: Architecture Change Management"""
63,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 1.2.3 Relationship of project, program, portfolio and operations management"""
64,"""ITIL V3, 2011""","""Service Strategy, 4.2 Service portfolio management"""
65,"""ITIL V3, 2011""","""Service Strategy, 4.3 Financial management for IT services"""
66,"""ISO/IEC 20000-1:2011(E)""","""6.4 Budgeting and accounting for services"""
67,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 7. Project cost management"""
68,"""Skills Framework for the Information Age V6, 2015""","""SFIA and skills management—Acquire"""
69,"""CMMI Cybermaturity Platform, 2018""","""RI.RR Identification of Roles and Responsibilities"""
70,"""ISF, The Standard of Good Practice for Information Security 2016""","""PM2.3 Security Education/Training"""
71,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""7.2 Competence"""
72,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity V1.1, April 2018""","""PR.AT Awareness and Training"""
73,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.2 Awareness and training (AT-3, AT-4)"""
74,"""Skills Framework for the Information Age V6, 2015""","""SFIA and skills management—Deploy"""
75,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 17: Security Skills Assessment and Appropriate Training to Fill Gaps"""
76,"""Skills Framework for the Information Age V6, 2015""","""SFIA and skills management—Develop"""
77,"""Skills Framework for the Information Age V6, 2015""","""SFIA and skills management—Assess; Reward"""
78,"""ITIL V3, 2011""","""Service Strategy, 4.4 Demand management"""
79,"""ISO/IEC 20000-1:2011(E)""","""7.1 Business relationship management"""
80,"""ITIL V3, 2011""","""Service Strategy, 4.5 Business relationship management"""
81,"""ITIL V3, 2011""","""Service Design, 4.2 Service Catalogue Management"""
82,"""ISF, The Standard of Good Practice for Information Security 2016""","""SY2.1 Service Level Agreements"""
83,"""ISO/IEC 20000-1:2011(E)""","""4.5 Establish and improve the SMS; 6.1 Service level management"""
84,"""ITIL V3, 2011""","""Service Design, 4.3 Service Level Management"""
85,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.18 System and services acquisition (SA-9)"""
86,"""HITRUST CSF version 9, September 2017""","""09.02 Control Third Party Service Delivery"""
87,"""ISO/IEC 20000-1:2011(E)""","""6.2 Service reporting"""
88,"""ISO/IEC 20000-1:2011(E)""","""7.2 Supplier management"""
89,"""ITIL V3, 2011""","""Service Design, 4.8 Supplier Management"""
90,"""CMMI Cybermaturity Platform, 2018""","""RM.MP Manage External Participation"""
91,"""ISF, The Standard of Good Practice for Information Security 2016""","""SC1.1 External Supplier Management Process"""
92,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""15. Supplier relationships"""
93,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""D.SC Supply Chain Risk Management"""
94,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 8.1 Plan quality management"""
95,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 8.2 Manage quality"""
96,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 8.3 Control quality"""
97,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""DE.DP Detection Processes"""
98,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes - Risk Management"""
99,"""COSO Enterprise Risk Management, June 2017""","""8. Performance—Principle 10"""
100,"""ISO/IEC 27005:2011(E)""","""8.2 Risk identification; 12. Information security risk monitoring and review"""
101,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.1 Preparation (Task 7)"""
102,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes—Risk Management"""
103,"""COSO Enterprise Risk Management, June 2017""","""8. Performance—Principle 11"""
104,"""ISF, The Standard of Good Practice for Information Security 2016""","""IR2.1 Risk Assessment Scope; IR2.2 Business Impact Assessment"""
105,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""8.2 Information security risk assessment"""
106,"""ISO/IEC 27005:2011(E)""","""8.3 Risk analysis"""
107,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""ID.RA Risk Assessment"""
108,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.6 Authorization (Task 3)"""
109,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.17 Risk assessment (RA-3)"""
110,"""CMMI Cybermaturity Platform, 2018""","""RS.DT Define Organizational Risk Tolerance"""
111,"""COSO Enterprise Risk Management, June 2017""","""8. Performance—Principle 12"""
112,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.17 Risk assessment (RA-7)"""
113,"""CMMI Cybermaturity Platform, 2018""","""RS.CR Determine Critical Infrastructure Requirements"""
114,"""COSO Enterprise Risk Management, June 2017""","""10. Information, Communication, and Reporting—Principle 19"""
115,"""ISO/IEC 27005:2011(E)""","""11. Information security risk communication and consultation"""
116,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""ID.RM Risk Management Strategy"""
