policy_id,objective_id,policy,description
1,EDM01,Delegation of authority policy,Specifies the authority that the board strictly retains for itself. Enumerates general principles of delegation of authority and schedule of delegation (including clear boundaries). Defines organizational structures to which the board delegates authority.
2,EDM01,Governance policy,"Provides guiding principles of governance (e.g., I&T governance is critical to enterprise success; I&T and the business align strategically; business requirements and benefits determine priorities; enforcement must be equitable, timely and consistent; industry best practices, frameworks and standards must be assessed and implemented as appropriate). Includes governance imperatives, such as building trust and partnerships, to be successful. Emphasizes that I&T governance reflects a process of continual improvement and must be tailored, maintained and up"
3,EDM02,Budgeting and delivery execution policy,"Sets guidelines to identify needs and requirements for investments, monitor fulfillment, and ensure maximum benefit. Addresses formulation of budget requests. Monitors budget and technical performance execution to plan. Recommends reallocation or reprogramming as warranted. Addresses monitoring of performance against service level agreements and other performance-based metrics."
4,EDM03,Enterprise risk policy,"Defines governance and management of enterprise risk at strategic, tactical and operational levels, pursuant to business objectives. Translates enterprise governance into risk governance principles and policy and elaborates risk management activities"
5,EDM04,Performance measurement policy,"Identifies the need for a performance measurement system beyond conventional accounting. This system encompasses measurement of relationships and knowledge-based assets necessary to compete in the information age, including customer focus, process efficiency and the ability to learn and grow (balanced scorecard). The balanced scorecard translates strategy into action to achieve enterprise goals, taking into account intangibles like customer satisfaction, streamlining of internal functions, creation of operational efficiencies and development of staff skills. This holistic view of operations helps link long-term strategic objectives and short-term actions."
6,EDM05,Transparency policy,"Addresses the importance of frequent, open communication with all stakeholders to ensure that they understand the strategic importance of I&T to enterprise success. Ensures that transparency supports appropriate risk mitigation, linking transparency and effective risk management to I&T value and enterprise growth."
7,APO01,I&T management framework,Establishes management system for enterprise I&T based on enterprise goals and other design factors. Considers detailed policies and principles for I&T management across all components.
8,APO02,I&T service strategy principles,"For details, refer to related guidance"
9,APO02,I&T strategy policy and principles,"Provides holistic view of current business and I&T environment, strategic direction and initiatives required to transition to the desired future environment. Ensures that business and I&T strategy reflect target level of digitization."
10,APO03,Architectural principles,"Defines general principles to inform rules and 20. Architecture Principles guidelines for architecture processes, procedures, layers, and overall use and interconnection of I&T resources and assets. Outlines architectural principles to enhance decision making. Ensures alignment of current and target architecture with enterprise objectives and strategy."
11,APO04,Innovation principles,Defines general principles ensuring that new/innovative ideas are fully assessed when defining new strategic goals and decisions
