practice_id,objective_id,practice_name,practice_description,,
"""EDM01.01""",EDM01,"""Evaluate the governance system.""","""Continually identify and engage with the enterprise's stakeholders, document an understanding of the requirements, and evaluate the current and future design of governance of enterprise I&T.""",,"""""EDM01.01"""""
"""EDM01.02""",EDM01,"""Direct the governance system.""","""Inform leaders on I&T governance principles and obtain their support, buy-in and commitment. Guide the structures, processes and practices for the governance of I&T in line with the agreed governance principles, decision-making models and authority levels. Define the information required for informed decision making.""",,"""""EDM01.02"""""
"""EDM01.03""",EDM01,"""Monitor the governance system.""","""Monitor the effectiveness and performance of the enterprise’s governance of I&T. Assess whether the governance system and implemented mechanisms (including structures, principles and processes) are operating effectively and provide appropriate oversight of I&T to enable value creation.""",,"""""EDM01.03"""""
"""EDM02.01""",EDM02,"""Establish the target investment mix.""","""Review and ensure clarity of the enterprise and I&T strategies and current services. Define an appropriate investment mix based on cost, alignment with strategy, type of benefit for the programs in the portfolio, degree of risk, and financial measures such as cost and expected return on investment (ROI) over the full economic life cycle. Adjust the enterprise and I&T strategies where necessary.""",,"""""EDM02.01"""""
"""EDM02.02""",EDM02,"""Evaluate value optimization.""","""Continually evaluate the portfolio of I&T-enabled investments, services and assets to determine the likelihood of achieving enterprise objectives and delivering value. Identify and evaluate any changes in direction to management that will optimize value creation.""",,"""""EDM02.02"""""
"""EDM02.03""",EDM02,"""Direct value optimization.""","""Direct value management principles and practices to enable optimal value realization from I&T-enabled investments throughout their full economic life cycle.""",,"""""EDM02.03"""""
"""EDM02.04""",EDM02,"""Monitor value optimization.""","""Monitor key goals and metrics to determine whether the enterprise receives expected value and benefit from I&T-enabled investments and services. Identify significant issues and consider corrective actions.""",,"""""EDM02.04"""""
"""EDM03.01""",EDM03,"""Evaluate risk management.""","""Continually examine and evaluate the effect of risk on the current and future use of I&T in the enterprise. Consider whether the enterprise's risk appetite is appropriate and ensure that risk to enterprise value related to the use of I&T is identified and managed.""",,"""""EDM03.01"""""
"""EDM03.02""",EDM03,"""Direct risk management.""","""Direct the establishment of risk management practices to provide reasonable assurance that I&T risk management practices are appropriate and that actual I&T risk does not exceed the board’s risk appetite.""",,"""""EDM03.02"""""
"""EDM03.03""",EDM03,"""Monitor risk management.""","""Monitor the key goals and metrics of the risk management processes. Determine how deviations or problems will be identified, tracked and reported for remediation.""",,"""""EDM03.03"""""
"""EDM04.01""",EDM04,"""Evaluate resource management.""","""Continually examine and evaluate the current and future need for business and I&T resources (financial and human), options for resourcing (including sourcing strategies), and allocation and management principles to meet the needs of the enterprise in the optimal manner.""",,"""""EDM04.01"""""
"""EDM04.02""",EDM04,"""Direct resource management.""","""Ensure the adoption of resource management principles to enable optimal use of business and I&T resources throughout their full economic life cycle.""",,"""""EDM04.02"""""
"""EDM04.03""",EDM04,"""Monitor resource management.""","""Monitor the key goals and metrics of the resource management processes. Determine how deviations or problems will be identified, tracked and reported for remediation.""",,"""""EDM04.03"""""
"""EDM05.01""",EDM05,"""Evaluate stakeholder engagement and reporting requirements.""","""Continually examine and evaluate current and future requirements for stakeholder engagement and reporting (including reporting mandated by regulatory requirements), and communication to other stakeholders. Establish principles for engaging and communicating with stakeholders.""",,"""""EDM05.01"""""
"""EDM05.02""",EDM05,"""Direct stakeholder engagement, communication and reporting.""","""Ensure the establishment of effective stakeholder involvement, communication and reporting, including mechanisms for ensuring the quality and completeness of information, overseeing mandatory reporting, and creating a communication strategy for stakeholders.""",,"""""EDM05.02"""""
