practice_id,guidance_id
EDM01.01,1
EDM01.01,2
EDM01.01,3
EDM01.01,4
EDM01.02,5
EDM01.02,6
EDM01.02,7
EDM01.02,8
EDM01.02,9
EDM01.02,10
EDM01.03,11
EDM01.03,12
EDM02.01,13
EDM02.01,14
EDM02.02,15
EDM02.02,16
EDM02.02,17
EDM02.02,18
EDM02.02,19
EDM02.03,20
EDM02.04,21
EDM03.01,22
EDM03.02,23
EDM03.02,24
EDM03.02,25
EDM03.02,26
EDM03.03,27
EDM03.03,28
EDM03.03,29
EDM04.01,30
EDM04.01,31
EDM04.02,32
EDM04.02,33
EDM04.02,34
EDM04.02,35
EDM04.03,36
EDM04.03,31
EDM05.01,37
EDM05.02,38
EDM05.02,39
EDM05.02,40
EDM05.02,41
EDM05.03,42
APO01.01,43
APO01.01,44
APO01.01,3
APO01.06,45
APO01.11,46
APO02.01,47
APO02.02,48
APO02.05,49
APO02.05,50
APO03.01,51
APO03.01,52
APO03.02,53
APO03.02,54
APO03.02,55
APO03.02,56
APO03.02,57
APO03.03,53
APO03.03,58
APO03.04,53
APO03.04,59
APO03.05,60
APO03.05,61
APO03.05,62
APO05.02,63
APO05.04,64
APO06.01,65
APO06.03,66
APO06.03,67
APO07.01,33
APO07.01,68
APO07.02,69
APO07.02,68
APO07.03,70
APO07.03,71
APO07.03,72
APO07.03,73
APO07.03,74
APO07.03,75
APO07.04,76
APO07.05,77
APO07.06,74
APO08.02,78
APO08.03,79
APO08.03,80
APO09.01,78
APO09.02,81
APO09.03,82
APO09.03,83
APO09.03,84
APO09.03,85
APO09.04,86
APO09.04,87
APO10.03,88
APO10.03,89
APO10.04,90
APO10.04,91
APO10.04,92
APO10.04,93
APO11.01,94
APO11.03,95
APO11.04,96
APO11.05,97
APO12.01,98
APO12.01,99
APO12.01,100
APO12.01,101
APO12.02,102
APO12.02,103
APO12.02,104
APO12.02,105
APO12.02,106
APO12.02,107
APO12.02,108
APO12.02,109
APO12.03,110
APO12.03,111
APO12.03,112
APO12.04,113
APO12.04,114
APO12.04,115
APO12.04,116
APO12.04,117
APO12.05,102
APO12.05,118
APO12.05,119
APO12.06,120
APO12.06,121
APO12.06,122
APO12.06,123
APO12.06,124
APO12.06,125
APO12.06,126
APO12.06,127
APO12.06,128
APO12.06,129
APO12.06,130
APO13.03,131
APO14.01,132
APO14.01,133
APO14.01,134
APO14.02,135
APO14.02,136
APO14.03,137
APO14.03,45
APO14.04,138
APO14.04,139
APO14.05,140
APO14.05,141
APO14.06,142
APO14.07,143
APO14.08,144
APO14.09,145
APO14.10,146
BAI01.03,147
BAI01.09,148
BAI02.01,149
BAI02.01,150
BAI02.01,151
BAI02.01,152
BAI03.01,153
BAI03.02,153
BAI03.03,154
BAI03.03,155
BAI03.03,156
BAI03.03,157
BAI03.04,158
BAI03.04,159
BAI03.04,160
BAI03.05,161
BAI03.05,162
BAI03.06,163
BAI03.07,164
BAI03.07,165
BAI03.08,166
BAI03.08,167
BAI03.08,168
BAI03.09,169
BAI03.10,170
BAI03.12,171
BAI04.01,172
BAI04.01,173
BAI04.01,174
BAI04.01,175
BAI04.01,176
BAI04.02,177
BAI04.03,178
BAI05.01,179
BAI05.02,180
BAI05.05,181
BAI05.06,182
BAI05.07,182
BAI06.01,183
BAI06.01,184
BAI06.01,185
BAI06.01,186
BAI06.03,187
BAI07.01,188
BAI07.02,188
BAI07.05,189
BAI07.06,190
BAI07.06,191
BAI07.08,192
BAI08.02,193
BAI08.03,194
BAI08.03,195
BAI08.03,196
BAI09.01,197
