practice_id,role_id,r_a,
"""BAI02.01""",1,,"""""BAI02.01"""""
"""BAI02.01""",2,,"""""BAI02.01"""""
"""BAI02.01""",3,,"""""BAI02.01"""""
"""BAI02.01""",4,,"""""BAI02.01"""""
"""BAI02.01""",5,,"""""BAI02.01"""""
"""BAI02.01""",6,,"""""BAI02.01"""""
"""BAI02.01""",7,,"""""BAI02.01"""""
"""BAI02.01""",8,,"""""BAI02.01"""""
"""BAI02.01""",9,,"""""BAI02.01"""""
"""BAI02.01""",10,,"""""BAI02.01"""""
"""BAI02.01""",11,,"""""BAI02.01"""""
"""BAI02.01""",12,,"""""BAI02.01"""""
"""BAI02.01""",13,,"""""BAI02.01"""""
"""BAI02.01""",14,R,"""""BAI02.01"""""
"""BAI02.01""",15,A,"""""BAI02.01"""""
"""BAI02.01""",16,R,"""""BAI02.01"""""
"""BAI02.01""",17,R,"""""BAI02.01"""""
"""BAI02.01""",18,R,"""""BAI02.01"""""
"""BAI02.01""",19,,"""""BAI02.01"""""
"""BAI02.01""",20,,"""""BAI02.01"""""
"""BAI02.01""",21,R,"""""BAI02.01"""""
"""BAI02.01""",22,R,"""""BAI02.01"""""
"""BAI02.01""",23,R,"""""BAI02.01"""""
"""BAI02.01""",24,,"""""BAI02.01"""""
"""BAI02.01""",25,,"""""BAI02.01"""""
"""BAI02.01""",26,,"""""BAI02.01"""""
"""BAI02.01""",27,R,"""""BAI02.01"""""
"""BAI02.01""",28,,"""""BAI02.01"""""
"""BAI02.01""",29,R,"""""BAI02.01"""""
"""BAI02.01""",30,,"""""BAI02.01"""""
"""BAI02.01""",31,,"""""BAI02.01"""""
"""BAI02.01""",32,,"""""BAI02.01"""""
"""BAI02.01""",33,,"""""BAI02.01"""""
"""BAI02.02""",1,,"""""BAI02.02"""""
"""BAI02.02""",2,,"""""BAI02.02"""""
"""BAI02.02""",3,,"""""BAI02.02"""""
"""BAI02.02""",4,,"""""BAI02.02"""""
"""BAI02.02""",5,,"""""BAI02.02"""""
"""BAI02.02""",6,,"""""BAI02.02"""""
"""BAI02.02""",7,,"""""BAI02.02"""""
"""BAI02.02""",8,,"""""BAI02.02"""""
"""BAI02.02""",9,,"""""BAI02.02"""""
"""BAI02.02""",10,,"""""BAI02.02"""""
"""BAI02.02""",11,,"""""BAI02.02"""""
"""BAI02.02""",12,,"""""BAI02.02"""""
"""BAI02.02""",13,,"""""BAI02.02"""""
"""BAI02.02""",14,R,"""""BAI02.02"""""
"""BAI02.02""",15,A,"""""BAI02.02"""""
"""BAI02.02""",16,R,"""""BAI02.02"""""
"""BAI02.02""",17,R,"""""BAI02.02"""""
"""BAI02.02""",18,R,"""""BAI02.02"""""
"""BAI02.02""",19,,"""""BAI02.02"""""
"""BAI02.02""",20,,"""""BAI02.02"""""
"""BAI02.02""",21,,"""""BAI02.02"""""
"""BAI02.02""",22,,"""""BAI02.02"""""
"""BAI02.02""",23,R,"""""BAI02.02"""""
"""BAI02.02""",24,,"""""BAI02.02"""""
"""BAI02.02""",25,,"""""BAI02.02"""""
"""BAI02.02""",26,,"""""BAI02.02"""""
"""BAI02.02""",27,,"""""BAI02.02"""""
"""BAI02.02""",28,,"""""BAI02.02"""""
"""BAI02.02""",29,,"""""BAI02.02"""""
"""BAI02.02""",30,,"""""BAI02.02"""""
"""BAI02.02""",31,,"""""BAI02.02"""""
"""BAI02.02""",32,,"""""BAI02.02"""""
"""BAI02.02""",33,,"""""BAI02.02"""""
"""BAI02.03""",1,,"""""BAI02.03"""""
"""BAI02.03""",2,,"""""BAI02.03"""""
"""BAI02.03""",3,,"""""BAI02.03"""""
"""BAI02.03""",4,R,"""""BAI02.03"""""
"""BAI02.03""",5,,"""""BAI02.03"""""
"""BAI02.03""",6,R,"""""BAI02.03"""""
"""BAI02.03""",7,,"""""BAI02.03"""""
"""BAI02.03""",8,,"""""BAI02.03"""""
"""BAI02.03""",9,,"""""BAI02.03"""""
"""BAI02.03""",10,,"""""BAI02.03"""""
"""BAI02.03""",11,,"""""BAI02.03"""""
"""BAI02.03""",12,,"""""BAI02.03"""""
"""BAI02.03""",13,,"""""BAI02.03"""""
"""BAI02.03""",14,R,"""""BAI02.03"""""
"""BAI02.03""",15,A,"""""BAI02.03"""""
"""BAI02.03""",16,R,"""""BAI02.03"""""
"""BAI02.03""",17,R,"""""BAI02.03"""""
"""BAI02.03""",18,R,"""""BAI02.03"""""
"""BAI02.03""",19,,"""""BAI02.03"""""
"""BAI02.03""",20,,"""""BAI02.03"""""
"""BAI02.03""",21,,"""""BAI02.03"""""
"""BAI02.03""",22,,"""""BAI02.03"""""
"""BAI02.03""",23,R,"""""BAI02.03"""""
"""BAI02.03""",24,R,"""""BAI02.03"""""
"""BAI02.03""",25,,"""""BAI02.03"""""
"""BAI02.03""",26,,"""""BAI02.03"""""
"""BAI02.03""",27,R,"""""BAI02.03"""""
"""BAI02.03""",28,,"""""BAI02.03"""""
"""BAI02.03""",29,R,"""""BAI02.03"""""
"""BAI02.03""",30,,"""""BAI02.03"""""
"""BAI02.03""",31,,"""""BAI02.03"""""
"""BAI02.03""",32,,"""""BAI02.03"""""
"""BAI02.03""",33,,"""""BAI02.03"""""
"""BAI02.04""",1,,"""""BAI02.04"""""
"""BAI02.04""",2,,"""""BAI02.04"""""
"""BAI02.04""",3,,"""""BAI02.04"""""
"""BAI02.04""",4,,"""""BAI02.04"""""
"""BAI02.04""",5,,"""""BAI02.04"""""
"""BAI02.04""",6,,"""""BAI02.04"""""
"""BAI02.04""",7,,"""""BAI02.04"""""
"""BAI02.04""",8,,"""""BAI02.04"""""
"""BAI02.04""",9,,"""""BAI02.04"""""
"""BAI02.04""",10,,"""""BAI02.04"""""
"""BAI02.04""",11,,"""""BAI02.04"""""
"""BAI02.04""",12,,"""""BAI02.04"""""
"""BAI02.04""",13,,"""""BAI02.04"""""
"""BAI02.04""",14,R,"""""BAI02.04"""""
"""BAI02.04""",15,A,"""""BAI02.04"""""
"""BAI02.04""",16,R,"""""BAI02.04"""""
"""BAI02.04""",17,R,"""""BAI02.04"""""
"""BAI02.04""",18,R,"""""BAI02.04"""""
"""BAI02.04""",19,,"""""BAI02.04"""""
"""BAI02.04""",20,,"""""BAI02.04"""""
"""BAI02.04""",21,,"""""BAI02.04"""""
"""BAI02.04""",22,,"""""BAI02.04"""""
"""BAI02.04""",23,R,"""""BAI02.04"""""
"""BAI02.04""",24,,"""""BAI02.04"""""
"""BAI02.04""",25,,"""""BAI02.04"""""
"""BAI02.04""",26,,"""""BAI02.04"""""
"""BAI02.04""",27,R,"""""BAI02.04"""""
"""BAI02.04""",28,,"""""BAI02.04"""""
"""BAI02.04""",29,R,"""""BAI02.04"""""
"""BAI02.04""",30,,"""""BAI02.04"""""
